filename,is_syllabus,marker_score,number_of_credits_found,academic_year_found,semester_found,subject_description_found,evaluation_criteria_found,percentages_found
file_23.pdf,False,0,False,False,False,False,False,[]
file_24.pdf,False,0,False,False,False,False,False,[]
file_38.pdf,True,5,True,True,True,True,True,"[(' Remember the final exam is worth', '40'), ('Final Exam', '40'), (' It is worth', '40'), (' Quizzes', '35'), (' and it is worth', '35'), ('Individual work', '15'), ('is worth', '15'), ('Class Participation', '10'), (' It will be worth', '10')]"
file_39.pdf,True,5,True,True,True,True,True,"[('Final exam', '40'), (' It is worth', '40'), ('Intermediate tests', '30'), ('account for', '30'), ('Group Project', '15'), ('which will be', '15'), ('Class Participation', '15')]"
file_40.pdf,True,5,True,True,True,True,True,"[('Final Exam', '40'), ('Class Participation', '20'), ('Intermediate tests', '40')]"
file_41.pdf,True,5,True,True,True,True,True,"[('Students will carry out a group project with other classmates which will be', '15'), ('Participation', '15'), ('Intermediate test', '30'), ('for', '30'), ('Group Work', '15'), ('Final Exam', '40'), ('who do not comply with the', '80')]"
file_42.pdf,True,5,True,True,True,True,True,"[('Class participation will be worth', '10'), ('Group projects are worth', '30'), ('It is worth', '30'), ('It is worth', '30'), ('Final Exam', '30'), ('Group Projects', '30'), ('Class Participation', '10'), ('Intermediate tests', '30')]"
file_43.pdf,True,5,True,True,True,True,True,"[('Remember the final exam is worth', '35'), ('Final Exam', '35'), (' It is worth', '35'), ('Intermediate tests', '35'), ('for', '20'), ('Group project', '15'), ('which will be', '15'), ('Class Participation', '15'), ('Students who do not comply with the', '80')]"
file_44.pdf,True,5,True,True,True,True,True,"[('Final Exam', '40'), ('Intermediate', '30'), ('Class Participation', '10'), ('Group Work', '20'), ('who do not comply with the', '80')]"
file_45.pdf,True,5,True,True,True,True,True,"[('FinalExam', '40'), ('MidtermExams', '30'), ('Firstmidtermis', '10'), ('IndividualWork', '15'), ('GroupWork', '15'), ('comply with the', '80')]"
file_46.pdf,True,5,True,True,True,True,True,"[('Final Exam', '35'), ('Group Work', '15'), ('Class Participation', '10'), ('Midterm Exam', '25'), ('Exercises &', '15'), ('Students who do not comply with the', '80')]"
file_47.pdf,True,5,True,True,True,True,True,"[(' over', '80'), ('Final presentation', '25'), ('Midterm exam', '30'), ('st Round viz', '5'), ('nd Round viz', '10'), ('Class Participation', '10'), ('Exercises &', '20'), ('Students who do not comply with the', '80')]"
file_48.pdf,True,5,True,True,True,True,True,"[(' Assignments and', '30'), (' Students who do not submit at least', '50'), (' Assignments and', '30'), (' Students who do not submit at least', '50'), (' but absences do not total more than', '30'), (' Please note that a student who misses', '30'), ('Final Exam', '20'), ('Intermediate tests', '40'), ('Final Exam', '40'), ('Class Participation', '20')]"
file_49.pdf,True,5,True,True,True,True,True,"[('an eye on numerical methods since in practice this is what we will end up using in', '99'), ('Final Exam', '50'), ('Individual work', '15'), ('Class Participation', '5'), ('Intermediate tests', '30'), ('who do not comply with the', '80')]"
file_50.pdf,True,5,True,True,True,True,True,"[('Final Exam', '40'), (' It is worth', '40'), ('Group', '15'), ('which will be', '15'), ('Class Participation', '10'), (' It will be worth', '10'), ('Intermediate tests', '35'), ('will account for', '20'), ('who do not comply with the', '80')]"
file_51.pdf,True,5,True,True,True,True,True,"[('Final Exam', '40'), (' It is worth', '40'), ('Group Work', '15'), ('which will be', '15'), ('Class Participation', '15'), ('Intermediate tests', '30'), ('for', '20'), ('Students who do not comply with the', '80')]"
file_52.pdf,True,5,True,True,True,True,True,"[('Final Exam', '40'), ('worth', '40'), ('Midterm Exam', '20'), ('will account for', '20'), ('Class Participation', '15'), ('Project', '15'), ('Quizzes', '10'), ('who do not comply with the', '80')]"
file_53.pdf,True,5,True,True,True,True,True,"[('Evolution of', '30'), ('Final presentation', '30'), ('Scientific writing', '20'), ('Class Participation', '20'), ('who do not comply with the', '80')]"
file_54.pdf,True,5,True,True,True,True,True,"[('Individual work', '55'), ('Group Work', '30'), ('Class Participation', '15'), ('Individual work', '55'), ('Group Work', '30'), ('Class Participation', '15'), ('This session is dedicated to the final exam which represents', '25'), ('Participation and', '15'), ('Group Work', '30'), ('Individual work', '55')]"
file_55.pdf,True,5,True,True,True,True,True,"[('Final Exam', '40'), ('Group', '40'), ('Intermediate tests', '20'), ('who do not comply with the', '80')]"
file_56.pdf,True,5,True,True,True,True,True,"[('Midterm Exam', '40'), (' It is worth', '40'), ('Final Exam', '30'), (' t is worth', '30'), ('Individual work', '20'), ('Class Participation', '10'), ('who do not comply with the', '80')]"
file_57.pdf,True,5,True,True,True,True,True,"[('Individual work that comprises', '20'), ('Final Exam', '30'), ('Intermediate tests', '30'), ('Individual Work', '20'), ('Class Participation', '10'), ('Group Work', '10'), ('who do not comply with the', '80')]"
file_58.pdf,True,5,True,True,True,True,True,"[('Final Exam', '30'), (' It is worth', '30'), ('Group Work', '15'), ('which will be', '15'), ('Class Participation', '15'), ('Intermediate tests', '40'), ('for', '20'), ('who do not comply with the', '80')]"
file_59.pdf,True,5,True,True,True,True,True,"[('Participation in', '25'), ('The Chase report', '15'), ('Project report and', '30'), ('Project', '20'), ('Final report on', '10'), ('Students who do not comply with the', '80')]"
file_60.pdf,True,5,True,True,True,True,True,"[('Final Exam', '50'), (' It is worth', '50'), ('Intermediate tests', '30'), ('for', '20'), ('the quizzes for', '10'), ('Group Project', '10'), ('which will be', '10'), ('Class Participation', '10'), ('who do not comply with the', '80')]"
file_61.pdf,True,5,True,True,True,True,True,"[('Final Exam', '50'), ('Group', '15'), ('Class Participation', '10'), ('Intermediate tests', '25'), ('who do not comply with the', '80')]"
file_62.pdf,True,5,True,True,True,True,True,"[('Final Exam', '45'), (' It is worth', '45'), ('Intermediate tests', '25'), ('for', '25'), ('Group Work', '20'), ('which will be', '20'), ('Class Participation', '10'), ('who do not comply with the', '80')]"
file_63.pdf,True,5,True,True,True,True,True,"[('Class participation will be worth', '10'), (' This work will be account for', '15'), ('This component is worth', '25'), ('The final exam is worth', '50'), ('Final Exam', '50'), ('Group Work', '15'), ('Class Participation', '10'), ('Intermediate tests', '25'), ('Students who do not comply with the', '80')]"
file_64.pdf,True,5,True,True,True,True,True,"[('Final Exam', '30'), ('Group', '20'), ('Class Participation', '5'), ('Midterm', '30'), ('Quizzes', '15'), ('each', '5'), ('who do not comply with the', '80')]"
file_65.pdf,True,5,True,True,True,True,True,"[('Participation', '5'), ('Intermediate test', '30'), ('exam accounts for', '30'), ('Group Work', '25'), ('Final Exam', '40'), ('who do not comply with the', '80')]"
file_66.pdf,True,5,True,True,True,True,True,"[('Final Exam', '40'), ('worth', '40'), ('Midterm Exam', '30'), ('is worth', '30'), ('Group Project', '20'), ('Class Participation', '10'), ('Students who do not comply with the', '80')]"
